gene_id,chromosome,strand,tss_position,extracted_start,extracted_end,sequence_length
AT1G01010,1,+,3631,2632,3631,1000
AT1G01020,1,-,9130,9130,10129,1000
AT1G01030,1,-,13714,13714,14713,1000
AT1G01040,1,+,23121,22122,23121,1000
AT1G01050,1,-,33171,33171,34170,1000
AT1G01060,1,-,37871,37871,38870,1000
AT1G01070,1,-,41017,41017,42016,1000
AT1G01080,1,-,47059,47059,48058,1000
AT1G01090,1,-,49304,49304,50303,1000
AT1G01100,1,-,51210,51210,52209,1000
AT1G01110,1,+,51953,50954,51953,1000
AT1G01120,1,-,59215,59215,60214,1000
AT1G01130,1,-,63811,63811,64810,1000
AT1G01140,1,-,67774,67774,68773,1000
AT1G01150,1,-,72138,72138,73137,1000
AT1G01160,1,+,72339,71340,72339,1000
AT1G01170,1,-,74737,74737,75736,1000
AT1G01180,1,+,75390,74391,75390,1000
AT1G01190,1,-,84946,84946,85945,1000
AT1G01200,1,-,88409,88409,89408,1000
AT1G01210,1,+,88622,87623,88622,1000
AT1G01220,1,+,91342,90343,91342,1000
AT1G01225,1,+,95935,94936,95935,1000
AT1G01230,1,+,97412,96413,97412,1000
AT1G01240,1,+,99865,98866,99865,1000
AT1G01250,1,-,105330,105330,106329,1000
AT1G01260,1,+,108946,107947,108946,1000
AT1G01280,1,+,112263,111264,112263,1000
AT1G01290,1,+,114202,113203,114202,1000
AT1G01300,1,+,116784,115785,116784,1000
AT1G01305,1,+,119381,118382,119381,1000
AT1G01310,1,+,120154,119155,120154,1000
AT1G01320,1,-,130577,130577,131576,1000
AT1G01335,1,+,130736,129737,130736,1000
AT1G01340,1,-,135924,135924,136923,1000
AT1G01350,1,+,136090,135091,136090,1000
AT1G01355,1,+,138489,137490,138489,1000
AT1G01360,1,+,141870,140871,141870,1000
AT1G01370,1,+,143489,142490,143489,1000
AT1G01380,1,+,147043,146044,147043,1000
AT1G01390,1,-,149848,149848,150847,1000
AT1G01400,1,-,152210,152210,153209,1000
AT1G01410,1,+,153113,152114,153113,1000
AT1G01420,1,-,156178,156178,157177,1000
AT1G01430,1,-,158823,158823,159822,1000
AT1G01440,1,-,162953,162953,163952,1000
AT1G01450,1,-,165517,165517,166516,1000
AT1G01453,1,-,168088,168088,169087,1000
AT1G01460,1,+,168559,167560,168559,1000
AT1G01470,1,-,172948,172948,173947,1000
AT1G01480,1,+,175706,174707,175706,1000
AT1G01490,1,-,182749,182749,183748,1000
AT1G01500,1,+,185033,184034,185033,1000
AT1G01510,1,+,187145,186146,187145,1000
AT1G01520,1,+,190408,189409,190408,1000
AT1G01530,1,-,193670,193670,194669,1000
AT1G01540,1,+,195645,194646,195645,1000
AT1G01550,1,+,199527,198528,199527,1000
AT1G01560,1,+,202103,201104,202103,1000
AT1G01570,1,+,204935,203936,204935,1000
AT1G01580,1,+,208995,207996,208995,1000
AT1G01590,1,+,214150,213151,214150,1000
AT1G01600,1,+,218834,217835,218834,1000
AT1G01610,1,-,224351,224351,225350,1000
AT1G01620,1,-,227543,227543,228542,1000
AT1G01630,1,+,228799,227800,228799,1000
AT1G01640,1,-,232630,232630,233629,1000
AT1G01650,1,-,237905,237905,238904,1000
AT1G01660,1,-,242703,242703,243702,1000
AT1G01670,1,-,246054,246054,247053,1000
AT1G01680,1,-,248440,248440,249439,1000
AT1G01690,1,+,249041,248042,249041,1000
AT1G01695,1,+,252626,251627,252626,1000
AT1G01700,1,-,261667,261667,262666,1000
AT1G01710,1,+,262828,261829,262828,1000
AT1G01715,1,+,266333,265334,266333,1000
AT1G01720,1,+,267993,266994,267993,1000
